キャリア,機種名,メーカー,ニックネーム,発売日,シリーズ,マークアップ言語,ブラウザバージョン,通信速度,画像階調,GIF,JPEG,PNG,BMP2,BMP4,MNG,通信方式,SSL対応,カメラの画素数,第二カメラの画素数,アプリケーション対応,アプリケーション種類,アプリケーションバージョン,アプリケーション最大容量,外部メモリースロットとメディアの種類,和音数,着うた対応,着うたフル対応,着ムービー対応,QR対応,Felica対応,Bluetooth対応,FLASH対応,ルートCA証明書VeriSign,ルートCA証明書Entrust,ルートCA証明書Cyber Trust,ルートCA証明書Geotrust,ルートCA証明書RSA Security,QVGA画面,フルブラウザ対応,赤外線対応,添付ファイルビューアー対応,GPS対応,MOVIE形式,フルブラウザバージョン,フルブラウザUSER-AGENT,添付受信サイズ,Flashバージョン,キャッシュ容量,ワンセグ対応,テレビ電話対応,office文書WebDL,officeファイル表示可能サイズ,Cookie,機体番号送信,モバイルSuica,メールURL長,BookMarkURL長,ブラウザURL長,プッシュ型情報配信,メール件名文字数,アニメーションGIF,透過GIF,添付送信サイズ,HTMLメール,きせかえツール,タッチパネル,横画面用待受設定,横画面ブラウザ対応,最終更新日
SoftBank,832SH,SHARP,,2009/8/7,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,320万画素,,Y,Java,MIDP2.0,1M,microSD HC,64,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,3gp,NetFront V3.5,Mozilla/5.0 (832SH;SoftBank) NetFront/3.5,1M,Flash Lite 3.0,307200,N,Y,N,-,C,Y,N,256,256,256,Y,256,Y,Y,1M,Y,Y,N,N,N,2009/8/7
SoftBank,832T,TOSHIBA,かんたん携帯,2009/6/26,3GC,HTML Ver.4/XHTML,1.x,3.6Mbps,カラー262144色,Y,Y,Y,N,N,N,HSDPA/WCDMA,L,196万画素,32万画素,N,,,,microSD,128,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,3gp,,,300K,Flash Lite 2.0,307200,N,Y,N,-,C,Y,N,256,256,256,N,256,Y,Y,300K,N,N,N,N,N,2009/6/26
SoftBank,902SH,SHARP,,2004/12/29,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA/GSM,L,202万画素,11万画素,Y,Java,MIDP2.0,1M,SD,64,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,3gp,,,300K,Flash Lite 1.1,307200,N,Y,N,-,C,Y,N,256,256,256,N,13,Y,Y,300K,N,N,N,N,N,2006/9/19
SoftBank,902T,TOSHIBA,,2005/6/11,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA/GSM,L,192万画素,31万画素,Y,Java,MIDP2.0,1M,SD,64,Y,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,3gp,,,300K,0,307200,N,Y,N,-,C,Y,N,256,256,256,N,170,Y,Y,300K,N,N,N,N,N,2006/9/19
SoftBank,903SH,SHARP,,2005/8/12,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA/GSM,L,320万画素,11万画素,Y,Java,MIDP2.0,1M,miniSD,128,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,3gp,,,300K,Flash Lite 1.1,307200,N,Y,N,-,C,Y,N,256,256,256,N,13,Y,Y,300K,N,N,N,N,N,2007/5/8
SoftBank,903T,TOSHIBA,,2005/10/15,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA/GSM,L,192万画素,31万画素,Y,Java,MIDP2.0,1M,SD,64,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,3gp,,,300K,0,307200,N,Y,N,-,C,Y,N,256,256,256,N,170,Y,Y,300K,N,N,N,N,N,2006/9/19
SoftBank,904SH,SHARP,,2006/4/15,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA/GSM,L,320万画素,11万画素,Y,Java,MIDP2.0,1M,miniSD,128,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,3gp,,,300K,Flash Lite 1.1,307200,N,Y,N,-,C,Y,Y,256,256,256,N,13,Y,Y,300K,N,Y,N,N,N,2006/12/11
SoftBank,904T,TOSHIBA,,2006/3/10,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA/GSM,L,320万画素,31万画素,Y,Java,MIDP2.0,1M,miniSD,128,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,3gp,,,300K,0,307200,N,Y,N,-,C,Y,N,256,256,256,N,170,Y,Y,300K,N,N,N,N,N,2006/9/19
SoftBank,905SH,SHARP,AQUOSケータイ,2006/5/27,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA,L,202万画素,11万画素,Y,Java,MIDP2.0,1M,miniSD,128,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,3gp,,,300K,Flash Lite 1.1,307200,Y,Y,N,-,C,Y,Y,256,256,256,N,13,Y,Y,300K,N,Y,N,N,N,2006/12/25
SoftBank,910SH,SHARP,,2006/11/25,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA,L,500万画素,11万画素,Y,Java,MIDP2.0,1M,microSD,128,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,3gp,NetFront V3.3,Mozilla/4.08 (910SH;SoftBank) NetFront/3.3,300K,Flash Lite 2.0,307200,N,Y,Y,300K,C,Y,Y,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2006/12/11
SoftBank,910T,TOSHIBA,,2006/10/7,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA/GSM,L,320万画素,32万画素,Y,Java,MIDP2.0,1M,miniSD,128,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,3gp,NetFront V3.3,Mozilla/4.08 (910T;SoftBank) NetFront/3.3,300K,Flash Lite 2.0,307200,N,Y,N,-,C,Y,N,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2007/5/8
SoftBank,911SH,SHARP,AQUOSケータイ 2nd Model,2006/11/25,3GC,HTML Ver.4/XHTML,1.x,384Kbps,カラー262144色,Y,Y,Y,N,N,N,WCDMA,L,200万画素,11万画素,Y,Java,MIDP2.0,1M,microSD,128,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,3gp,NetFront V3.3,Mozilla/4.08 (911SH;SoftBank) NetFront/3.3,300K,Flash Lite 2.0,307200,Y,Y,Y,300K,C,Y,Y,256,256,256,Y,256,Y,Y,300K,Y,Y,N,N,N,2006/12/11
